bench, mem, temp, row_size, row_count, col_count, cycles
q1, c, -, 64, 32768, 4, 170954
q1, r, c, 64, 32768, 4, 432066
q1, r, h, 64, 32768, 4, 414105
q1, d, -, 64, 32768, 4, 664683
q1, c, -, 64, 32768, 4, 171285
q1, r, c, 64, 32768, 4, 417683
q1, r, h, 64, 32768, 4, 413993
q1, d, -, 64, 32768, 4, 663710
q1, c, -, 64, 32768, 4, 173587
q1, r, c, 64, 32768, 4, 430861
q1, r, h, 64, 32768, 4, 422964
q1, d, -, 64, 32768, 4, 664774
q1, c, -, 64, 32768, 4, 170610
q1, r, c, 64, 32768, 4, 418205
q1, r, h, 64, 32768, 4, 415189
q1, d, -, 64, 32768, 4, 663870
q1, c, -, 64, 32768, 4, 170595
q1, r, c, 64, 32768, 4, 418556
q1, r, h, 64, 32768, 4, 414409
q1, d, -, 64, 32768, 4, 682444
q1, c, -, 64, 32768, 4, 170578
q1, r, c, 64, 32768, 4, 417084
q1, r, h, 64, 32768, 4, 434534
q1, d, -, 64, 32768, 4, 665037
q1, c, -, 64, 32768, 4, 171091
q1, r, c, 64, 32768, 4, 416059
q1, r, h, 64, 32768, 4, 414265
q1, d, -, 64, 32768, 4, 664710
q1, c, -, 64, 32768, 4, 172605
q1, r, c, 64, 32768, 4, 417811
q1, r, h, 64, 32768, 4, 414292
q1, d, -, 64, 32768, 4, 664721
q1, c, -, 64, 32768, 4, 172051
q1, r, c, 64, 32768, 4, 416582
q1, r, h, 64, 32768, 4, 416465
q1, d, -, 64, 32768, 4, 664720
q1, c, -, 64, 32768, 4, 171992
q1, r, c, 64, 32768, 4, 418938
q1, r, h, 64, 32768, 4, 420625
q1, d, -, 64, 32768, 4, 665264
q1, c, -, 64, 32768, 4, 168312
q1, r, c, 64, 32768, 4, 416773
q1, r, h, 64, 32768, 4, 416440
q1, d, -, 64, 32768, 4, 675671
q1, c, -, 64, 32768, 4, 171714
q1, r, c, 64, 32768, 4, 415821
q1, r, h, 64, 32768, 4, 414298
q1, d, -, 64, 32768, 4, 663468
q1, c, -, 64, 32768, 4, 170673
q1, r, c, 64, 32768, 4, 430193
q1, r, h, 64, 32768, 4, 414376
q1, d, -, 64, 32768, 4, 665441
q1, c, -, 64, 32768, 4, 169395
q1, r, c, 64, 32768, 4, 415991
q1, r, h, 64, 32768, 4, 415128
q1, d, -, 64, 32768, 4, 664164
q1, c, -, 64, 32768, 4, 172061
q1, r, c, 64, 32768, 4, 418473
q1, r, h, 64, 32768, 4, 428826
q1, d, -, 64, 32768, 4, 685461
