bench, mem, temp, row_size, row_count, col_width, offset, cycles, v3
q1, d, h, 64, 32768, 16, 0, 87472
q1, r, c, 64, 32768, 16, 0, 874724
q1, d, c, 64, 32768, 16, 0, 87771
q1, r, h, 64, 32768, 16, 0, 54987
q1, d, h, 64, 32768, 16, 0, 87612
q1, r, c, 64, 32768, 16, 0, 874663
q1, d, c, 64, 32768, 16, 0, 90673
q1, r, h, 64, 32768, 16, 0, 54976
q1, d, h, 64, 32768, 16, 0, 87382
q1, r, c, 64, 32768, 16, 0, 874701
q1, d, c, 64, 32768, 16, 0, 88005
q1, r, h, 64, 32768, 16, 0, 54977
